date,time,ward,location,latitude,longitude,situation
2017-09-30,16:30,南区,南区中ノ沢1812番地付近,42.993908,141.308339,ヒグマを目撃
2017-10-08,13:37,南区,南区滝野213番地付近,42.907486,141.358856,ヒグマを目撃
2017-10-09,不明,清田区,清田区有明の滝都市環境林(入口から有明小滝方向へ約150m地点),42.925876,141.400521,フンを確認
2017-10-11,15:20,南区,南区簾舞3条2丁目付近,42.959397,141.272383,ヒグマを目撃
2017-10-14,20:06,南区,南区石山621番地付近,42.946783,141.326128,ヒグマを目撃
2017-10-15,19:10,南区,南区定山渓904番地付近,42.976192,141.138394,ヒグマを目撃
2017-10-21,14:00,南区,南区藤野407-1付近,42.954119,141.313928,フンを確認
2017-10-21,08:30,南区,南区簾舞380-8付近,42.952217,141.264847,足跡を確認
2017-10-21,03:13,南区,南区南39条西10丁目付近(国道230号線),43.003236,141.342725,ヒグマを目撃
2017-10-22,10:20,手稲区,手稲区自然歩道:手稲山北尾根ルｰト(手稲本町入口から見晴台を過ぎて山頂方向へ約1kmの地点),43.1077,141.204556,ヒグマを目撃
2017-10-24,09:30,南区,南区自然歩道:藻岩山ルｰト(北ノ沢入口から馬の背方向へ約400m地点),43.022341,141.314376,足跡を確認
2017-10-28,09:10,南区,南区自然歩道:藻岩山ルｰト(北ノ沢入口から馬の背方向へ約100m地点),43.019863,141.311628,動物のうなり声を聞いた
2017-10-31,14:20,南区,南区定山渓無番地(道道1号小樽定山渓線),43.026335,141.131646,足跡を確認
2017-11-01,09:50,南区,南区定山渓無番地(札幌岳登山口付近),42.93265,141.160053,ヒグマを目撃
2017-11-16,午前,南区,南区豊滝市民の森(案内板5番から4番に向かって約200mの位置),42.933788,141.235382,足跡を確認
2017-11-17,不明,南区,南区定山渓無番地(道道1号､定山渓ダム下流園地内渓流橋),42.98264565,141.1575365,足跡を確認
2018-04-24,11:20,南区,南区藻岩山 山中,43.022711,141.341533,"ヒグマを目撃
（子グマ）"
2018-04-25,14:30,南区,南区定山渓無番地（国道230号薄別橋付近）の山中,42.944058,141.133494,ヒグマを目撃
2018-04-26,22:55,南区,南区真駒内南町6丁目(サイクリングロード付近),42.976511,141.347747,"ヒグマを目撃
（親子）"
2018-04-26,16:30,手稲区,手稲区金山(滝沢川･乙女の滝付近),43.112639,141.190976,"ヒグマを目撃
（親子）"
2018-04-29,9:10,南区,南区藤野915番地付近,42.940731,141.305086,ヒグマを目撃
2018-05-01,9:10,南区,南区藤野439番地付近,42.952267,141.300761,ヒグマを目撃
2018-05-05,10:00,南区,南区南沢6条4丁目18番地付近,42.989983,141.299719,足跡を確認
2018-05-14,8:55,南区,南区藤野473-1（フッズ内ゲレンデ）,42.950842,141.275964,フンを確認
2018-05-15,18:10,南区,南区藤野552番地付近,42.953547,141.293161,ヒグマを目撃
2018-05-16,9:00,南区,南区藤野473-1（フッズ内リュージュコース脇の林道）,42.951642,141.279803,フンを確認
2018-05-16,11:30,南区,南区常盤176-1付近,42.9124569,141.3287948,フンを確認
2018-05-16,15:30,南区,南区藤野5条2丁目16番付近（藤野沢川の河川敷）,42.955056,141.307608,ヒグマを目撃
2018-05-17,不明,南区,南区定山渓無番地(道道1号神威トンネル付近から小天狗岳に向かう登山道),42.984021,141.15188,足跡を確認
2018-05-17,14:00,南区,南区真駒内17番地1（石山西岡線脇）,42.993619,141.362617,ヒグマを目撃
2018-05-20,16:40,西区,西区西野 9条 9丁目5付近（西野西公園の散策路） ,43.067833,141.256539,フンを確認
2018-05-20,14:00,南区,南区藤野489番地付近,42.95027945,141.2836988,フンを確認
2018-05-20,3:00,南区,南区北ノ沢1897番地付近,43.01832884,141.2979466,ヒグマを目撃
2018-05-21,15:50,南区,南区自然歩道 藻岩山ルート 市民スキー場入口から山頂方向へ約1kmの地点,43.017846,141.335366,"ヒグマを目撃
（子グマ）"
2018-05-22,6:30,中央区,中央区小林峠頂上付近,43.019937,141.293044,"ヒグマを目撃
（子グマ）"
2018-05-22,9:00,南区,南区自然歩道 藻岩山ルート 北ノ沢入口から馬の背方向へ約400m地点及び約1200m地点,43.021745,141.312995,食痕、フンを確認
